Варна,Аврен,Аврен,"ОУ Христо Бoтев"
Варна,Аврен,Аврен,"ЧСУ  Юрий Гагарин"
Варна,Аврен,Дъбравино,"ОУ  Свети Климент Охридски"
Варна,Аврен,Приселци,"ОУ Д-р Петър Берон"
Варна,Аврен,Синдел,"СУ   Св.Св.Кирил и Методий"
Варна,Аврен,Тръстиково,"ОУ Св. св. Кирил и Методий"
Варна,Аврен,Царевци,"ОУ  Д-р П. Берон"
Бургас,Айтос,Айтос,"ОУ  Атанас Манчев"
Бургас,Айтос,Айтос,"СУ  Христо Ботев"
Бургас,Айтос,Айтос,"СУ  Н. Й. Вапцаров"
Бургас,Айтос,Айтос,"ПГСС   ЗЛАТНА НИВА "
Бургас,Айтос,Карагеоргиево,"ОУ Св.Св.Кирил и Методий"
Бургас,Айтос,Мъглен,"ОУ  Христо Ботев"
Бургас,Айтос,Пирне,"ОУ  Хр.Ботев"
Бургас,Айтос,Тополица,"ОУ  Светлина"
Варна,Аксаково,Аксаково,"СУ  Св. Климент Охридски"
Варна,Аксаково,Въглен,"ОУ  Хр.Смирненски"
Варна,Аксаково,Игнатиево,"СУ  Св. Св. Кирил и Методий"
Варна,Аксаково,Изворско,"ОУ  Св.Кл.Охридски"
Варна,Аксаково,Кичево,"ОУ  Св.Климент Охридски"
Варна,Аксаково,Любен Каравелово,"ОУ  Иван Вазов"
Силистра,Алфатар,Алфатар,"ОУ  Христо Ботев"
София-област,Антон,Антон,"ОУ  Св.Св. Кирил и Методий"
Търговище,Антоново,Антоново,"СУ Св.Св.Кирил и Методий"
Търговище,Антоново,Изворово,"НУ  Д-р П. Берон"
Търговище,Антоново,Стеврек,"ОУ  Н.Й.Вапцаров"
Търговище,Антоново,Трескавец,"ОУ  Н. Й. Вапцаров"
Ловеч,Априлци,Априлци,"СУ  Васил Левски"
Кърджали,Ардино,Ардино,"СУ  Васил Левски"
Кърджали,Ардино,Боровица,"ОУ  А. С. Макаренко"
Кърджали,Ардино,Бял извор,"ОУ  Христо Смирненски"
Кърджали,Ардино,Горно Прахово,"ОУ  Св. Св. Кирил и Методий"
Кърджали,Ардино,Жълтуша,"ОУ Отец Паисий"
Кърджали,Ардино,Падина,"ОУ  Св.Св.Кирил и Методий"
Пловдив,Асеновград,Асеновград,"ОУ  Ангел Кънчев"
Пловдив,Асеновград,Асеновград,"ОУ  Христо Ботев"
Пловдив,Асеновград,Асеновград,"ОУ  Отец Паисий"
Пловдив,Асеновград,Асеновград,"ОУ  Петко Каравелов"
Пловдив,Асеновград,Асеновград,"ОУ  Н. Вапцаров"
Пловдив,Асеновград,Асеновград,"ОУ  Панайот Волов"
Пловдив,Асеновград,Асеновград,СУ „Свети княз Борис I”
Пловдив,Асеновград,Асеновград,"СУ  Св.св. Кирил и Методий"
Пловдив,Асеновград,Асеновград,"ПГ  Св. П. Евтимий"
Пловдив,Асеновград,Асеновград,"ПГ по ХВТ  Св. Д. Солунски"
Пловдив,Асеновград,Асеновград,"ПГ   Цар Иван Асен ІІ"
Пловдив,Асеновград,Боянци,"ОУ  Проф. д-р Асен Златаров"
